Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0167260/?ref_=sr_t_1,94000000.0,1138267561,381878219,72629713,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']","['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama']","['New Zealand', 'United States']","['Hinuera Valley, Matamata, Waikato, New Zealand']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['English', 'Quenya', 'Old English', 'Sindarin']",215,124,11,2003
https://www.imdb.com/title/tt0266543/?ref_=sr_t_2,94000000.0,941637960,380843261,70251710,"['Andrew Stanton', 'Lee Unkrich']","['Andrew Stanton', 'Bob Peterson', 'David Reynolds']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']","['Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Quest', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family']","['United States', 'Japan']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'Japanese', 'Russian']",49,63,1,2003
https://www.imdb.com/title/tt0325980/?ref_=sr_t_3,140000000.0,654264546,305413918,46630690,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']","['Sea Adventure', 'Supernatural Fantasy', 'Swashbuckler', 'Sword & Sandal', 'Action', 'Adventure', 'Fantasy']",['United States'],"['Samana, Dominican Republic']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['English'],38,104,5,2003
https://www.imdb.com/title/tt0234215/?ref_=sr_t_4,150000000.0,741847937,281576461,91774413,"['Lana Wachowski', 'Lilly Wachowski']","['Lilly Wachowski', 'Lana Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Action', 'Sci-Fi']",['United States'],"['Nimitz Freeway, Oakland, California, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment']","['English', 'French', 'Italian']",8,34,0,2003
https://www.imdb.com/title/tt0315327/?ref_=sr_t_5,81000000.0,484592874,242829261,67953330,['Tom Shadyac'],"['Steve Koren', ""Mark O'Keefe"", 'Steve Oedekerk']","['Jim Carrey', 'Jennifer Aniston', 'Morgan Freeman']","['High-Concept Comedy', 'Quirky Comedy', 'Slapstick', 'Supernatural Fantasy', 'Comedy', 'Fantasy']",['United States'],"['Buffalo, New York, USA']","['Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']","['English', 'Spanish']",7,9,0,2003
https://www.imdb.com/title/tt0290334/?ref_=sr_t_6,110000000.0,407711549,214949694,85558731,['Bryan Singer'],"['Zak Penn', 'David Hayter', 'Bryan Singer']","['Patrick Stewart', 'Hugh Jackman', 'Halle Berry']","['Superhero', 'Action', 'Sci-Fi', 'Thriller']","['Canada', 'United States']","['Kananaskis Country, Alberta, Canada']","['Twentieth Century Fox', 'Marvel Enterprises', ""Donners' Company""]","['English', 'German', 'Italian', 'Spanish']",6,41,0,2003
https://www.imdb.com/title/tt0319343/?ref_=sr_t_7,33000000.0,230266511,178053220,32100000,['Jon Favreau'],['David Berenbaum'],"['Will Ferrell', 'James Caan', 'Bob Newhart']","['Holiday Comedy', 'Holiday Family', 'Holiday Romance', 'Quirky Comedy', 'Urban Adventure', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Holiday']",['United States'],"['Vancouver, British Columbia, Canada']","['New Line Cinema', 'Guy Walks into a Bar Productions', 'Gold/Miller Productions']",['English'],2,8,0,2003
https://www.imdb.com/title/tt0181852/?ref_=sr_t_8,200000000.0,433371112,150371112,44041440,['Jonathan Mostow'],"['John Brancato', 'Michael Ferris', 'Tedi Sarafian']","['Arnold Schwarzenegger', 'Nick Stahl', 'Kristanna Loken']","['Dystopian Sci-Fi', 'Time Travel', 'Action', 'Sci-Fi']","['United Kingdom', 'Germany', 'United States']","['33488 Crown Valley Roadd, Acton, California, USA']","['Intermedia Films', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'C-2 Pictures']",['English'],3,24,0,2003
https://www.imdb.com/title/tt0242653/?ref_=sr_t_9,150000000.0,427344325,139313948,48475154,"['Lana Wachowski', 'Lilly Wachowski']","['Lilly Wachowski', 'Lana Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Cyberpunk', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Superhero', 'Action', 'Sci-Fi']","['United States', 'Australia']","['St James Underground Station, Hyde Park, Sydney, New South Wales, Australia']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment']","['English', 'French']",5,36,0,2003
https://www.imdb.com/title/tt0349205/?ref_=sr_t_10,40000000.0,190538630,138614544,27557647,['Shawn Levy'],"['Frank B. Gilbreth Jr.', 'Ernestine Gilbreth Carey', 'Craig Titley']","['Steve Martin', 'Bonnie Hunt', 'Hilary Duff']","['Comedy', 'Family']",['United States'],"['357 S. Lorraine Blvd., Los Angeles, California, USA']","['Twentieth Century Fox', 'Robert Simonds Productions']",['English'],2,7,0,2003
