Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0073195/?ref_=sr_t_1,7000000.0,477916625.0,267263625.0,7061513.0,['Steven Spielberg'],"['Peter Benchley', 'Carl Gottlieb']","['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']","['Monster Horror', 'Sea Adventure', 'Survival', 'Adventure', 'Drama', 'Horror', 'Thriller']",['United States'],"[""Water Street, Edgartown, Martha's Vineyard, Massachusetts, USA""]","['Zanuck/Brown Productions', 'Universal Pictures']",['English'],16,20,3,1975
https://www.imdb.com/title/tt0073629/?ref_=sr_t_2,1200000.0,115802939.0,112892319.0,,['Jim Sharman'],"[""Richard O'Brien"", 'Jim Sharman']","['Tim Curry', 'Susan Sarandon', 'Barry Bostwick']","['Dark Comedy', 'Parody', 'Raunchy Comedy', 'Rock Musical', 'Supernatural Horror', 'Comedy', 'Horror', 'Musical']","['United Kingdom', 'United States']","['Oakley Court, Windsor Road, Oakley Green, Windsor, Berkshire, England, UK']","['Twentieth Century Fox', 'Michael White Productions']",['English'],3,4,0,1975
https://www.imdb.com/title/tt0073486/?ref_=sr_t_3,3000000.0,109115366.0,108981275.0,,['Milos Forman'],"['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey']","['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']","['Medical Drama', 'Psychological Drama', 'Drama']",['United States'],"['Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA']","['Fantasy Films', 'N.V. Zvaluw']",['English'],38,15,5,1975
https://www.imdb.com/title/tt0072890/?ref_=sr_t_4,1800000.0,50003141.0,50000000.0,,['Sidney Lumet'],"['Frank Pierson', 'P.F. Kluge', 'Thomas Moore']","['Al Pacino', 'John Cazale', 'Penelope Allen']","['Heist', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']",['United States'],"['285 Prospect Park West, Brooklyn, New York City, New York, USA']","['Warner Bros.', 'Artists Entertainment Complex']",['English'],14,20,1,1975
https://www.imdb.com/title/tt0073692/?ref_=sr_t_5,4000000.0,49407734.0,49407734.0,,['Hal Ashby'],"['Robert Towne', 'Warren Beatty']","['Warren Beatty', 'Julie Christie', 'Goldie Hawn']","['Satire', 'Comedy', 'Drama']",['United States'],"['2270 Bowmont Drive, Beverly Hills, California, USA']","['Persky-Bright / Vista', 'Columbia Pictures', 'Rubeeker Films']",['English'],3,11,1,1975
https://www.imdb.com/title/tt0072081/?ref_=sr_t_6,5000000.0,41833423.0,41833347.0,,['Blake Edwards'],"['Frank Waldman', 'Blake Edwards']","['Peter Sellers', 'Christopher Plummer', 'Catherine Schell']","['Farce', 'Slapstick', 'Comedy', 'Crime', 'Mystery']","['United Kingdom', 'United States']","['Palace Hotel, Gstaad, Switzerland']","['ITC Films', 'Jewel Productions', 'Pimlico Films']",['English'],2,5,0,1975
https://www.imdb.com/title/tt0073026/?ref_=sr_t_7,,39000000.0,39000000.0,,['Herbert Ross'],"['Jay Presson Allen', 'Arnold Schulman']","['Barbra Streisand', 'James Caan', 'Omar Sharif']","['Biography', 'Comedy', 'Drama', 'Musical', 'Romance']",['United States'],"['Central Station, Oakland, California, USA']","['Columbia Pictures', 'Rastar Pictures', 'Vista']",['English'],0,11,5,1975
https://www.imdb.com/title/tt0072653/?ref_=sr_t_8,,36853000.0,36853000.0,,['Norman Tokar'],"['Don Tait', 'Jack M. Bickham']","['Bill Bixby', 'Susan Clark', 'Don Knotts']","['Slapstick', 'Comedy', 'Family', 'Western']",['United States'],"['Bend, Oregon, USA']",['Walt Disney Productions'],['English'],0,0,0,1975
https://www.imdb.com/title/tt0073812/?ref_=sr_t_9,5000000.0,34279846.0,34251525.0,,['Ken Russell'],"['The Who', 'Ken Russell', 'Pete Townshend']","['Roger Daltrey', 'Ann-Margret', 'Oliver Reed']","['Jukebox Musical', 'Rock Musical', 'Drama', 'Musical']",['United Kingdom'],"['Kings Theatre, 20-24 Albert Road, Southsea, Portsmouth, Hampshire, England, UK']","['Robert Stigwood Organisation Ltd.', 'Hemdale']",['English'],2,5,2,1975
https://www.imdb.com/title/tt0073802/?ref_=sr_t_10,20000000.0,27476252.0,27476252.0,,['Sydney Pollack'],"['James Grady', 'Lorenzo Semple Jr.', 'David Rayfiel']","['Robert Redford', 'Faye Dunaway', 'Cliff Robertson']","['Political Thriller', 'Spy', 'Crime', 'Mystery', 'Thriller']",['United States'],"['55 East 77th Street, Manhattan, New York City, New York, USA']","['Wildwood Enterprises', 'Dino De Laurentiis Company']","['English', 'French']",6,4,1,1975
