,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
0,The Shawshank Redemption,1994,142.0,9.3,3000000.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",25000000.0,29332133.0,28767189.0,727327.0,Tim Robbins,Drama,21,42,7,1470
1,The Shawshank Redemption,1994,142.0,9.3,3000000.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",25000000.0,29332133.0,28767189.0,727327.0,Morgan Freeman,Drama,21,42,7,1470
2,The Shawshank Redemption,1994,142.0,9.3,3000000.0,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",25000000.0,29332133.0,28767189.0,727327.0,Bob Gunton,Drama,21,42,7,1470
3,The Lord of the Rings: The Return of the King,2003,201.0,9.0,2100000.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94000000.0,1138267561.0,381878219.0,72629713.0,Elijah Wood,Action,215,124,11,4080
4,The Lord of the Rings: The Return of the King,2003,201.0,9.0,2100000.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94000000.0,1138267561.0,381878219.0,72629713.0,Viggo Mortensen,Action,215,124,11,4080
5,The Lord of the Rings: The Return of the King,2003,201.0,9.0,2100000.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94000000.0,1138267561.0,381878219.0,72629713.0,Ian McKellen,Action,215,124,11,4080
6,The Dark Knight,2008,152.0,9.0,3000000.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",185000000.0,1009057329.0,534987076.0,158411483.0,Christian Bale,Action,164,165,2,4080
7,The Dark Knight,2008,152.0,9.0,3000000.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",185000000.0,1009057329.0,534987076.0,158411483.0,Heath Ledger,Action,164,165,2,4080
8,The Dark Knight,2008,152.0,9.0,3000000.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",185000000.0,1009057329.0,534987076.0,158411483.0,Aaron Eckhart,Action,164,165,2,4080
9,Schindler's List,1993,195.0,9.0,1500000.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",22000000.0,322161245.0,96898818.0,656636.0,Liam Neeson,Drama,91,49,7,1470
10,Schindler's List,1993,195.0,9.0,1500000.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",22000000.0,322161245.0,96898818.0,656636.0,Ralph Fiennes,Drama,91,49,7,1470
11,Schindler's List,1993,195.0,9.0,1500000.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",22000000.0,322161245.0,96898818.0,656636.0,Ben Kingsley,Drama,91,49,7,1470
12,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,8.9,2100000.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,93000000.0,888171906.0,319372078.0,47211490.0,Elijah Wood,Action,125,126,4,4080
13,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,8.9,2100000.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,93000000.0,888171906.0,319372078.0,47211490.0,Ian McKellen,Action,125,126,4,4080
14,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,8.9,2100000.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,93000000.0,888171906.0,319372078.0,47211490.0,Orlando Bloom,Action,125,126,4,4080
15,Pulp Fiction,1994,154.0,8.9,2300000.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8000000.0,213928762.0,107928762.0,9311882.0,John Travolta,Thriller,69,72,1,1725
16,Pulp Fiction,1994,154.0,8.9,2300000.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8000000.0,213928762.0,107928762.0,9311882.0,Uma Thurman,Thriller,69,72,1,1725
17,Pulp Fiction,1994,154.0,8.9,2300000.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8000000.0,213928762.0,107928762.0,9311882.0,Samuel L. Jackson,Thriller,69,72,1,1725
18,The Lord of the Rings: The Two Towers,2002,179.0,8.8,1900000.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",94000000.0,938242927.0,345518923.0,62007528.0,Elijah Wood,Action,132,138,2,4080
19,The Lord of the Rings: The Two Towers,2002,179.0,8.8,1900000.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",94000000.0,938242927.0,345518923.0,62007528.0,Ian McKellen,Action,132,138,2,4080
20,The Lord of the Rings: The Two Towers,2002,179.0,8.8,1900000.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",94000000.0,938242927.0,345518923.0,62007528.0,Viggo Mortensen,Action,132,138,2,4080
21,Inception,2010,148.0,8.8,2700000.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",160000000.0,839030630.0,292587330.0,62785337.0,Leonardo DiCaprio,Action,159,220,4,4080
22,Inception,2010,148.0,8.8,2700000.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",160000000.0,839030630.0,292587330.0,62785337.0,Joseph Gordon-Levitt,Action,159,220,4,4080
23,Inception,2010,148.0,8.8,2700000.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",160000000.0,839030630.0,292587330.0,62785337.0,Elliot Page,Action,159,220,4,4080
24,Forrest Gump,1994,142.0,8.8,2400000.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",55000000.0,678226465.0,330455270.0,24450602.0,Tom Hanks,Drama,51,74,6,1470
25,Forrest Gump,1994,142.0,8.8,2400000.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",55000000.0,678226465.0,330455270.0,24450602.0,Robin Wright,Drama,51,74,6,1470
26,Forrest Gump,1994,142.0,8.8,2400000.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",55000000.0,678226465.0,330455270.0,24450602.0,Gary Sinise,Drama,51,74,6,1470
27,Fight Club,1999,139.0,8.8,2400000.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,63000000.0,101321009.0,37030102.0,11035485.0,Brad Pitt,Drama,12,38,1,1470
28,Fight Club,1999,139.0,8.8,2400000.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,63000000.0,101321009.0,37030102.0,11035485.0,Edward Norton,Drama,12,38,1,1470
29,Fight Club,1999,139.0,8.8,2400000.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,63000000.0,101321009.0,37030102.0,11035485.0,Meat Loaf,Drama,12,38,1,1470
30,Chal Mera Putt 2,2020,124.0,8.8,3500.0,"Friendship and love between illegal immigrants struggling and facing challenges. Showing us that when it comes to the struggle of life, no border can divide human hearts and the love inside.",30000000.0,4095000.0,445000.0,10079109.0,Amrinder Gill,Drama,0,0,0,1470
31,Chal Mera Putt 2,2020,124.0,8.8,3500.0,"Friendship and love between illegal immigrants struggling and facing challenges. Showing us that when it comes to the struggle of life, no border can divide human hearts and the love inside.",30000000.0,4095000.0,445000.0,10079109.0,Simi Chahal,Drama,0,0,0,1470
32,Chal Mera Putt 2,2020,124.0,8.8,3500.0,"Friendship and love between illegal immigrants struggling and facing challenges. Showing us that when it comes to the struggle of life, no border can divide human hearts and the love inside.",30000000.0,4095000.0,445000.0,10079109.0,Nasir Chinyoti,Drama,0,0,0,1470
33,Interstellar,2014,169.0,8.7,2300000.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",165000000.0,759422807.0,203227580.0,47510360.0,Matthew McConaughey,Adventure,44,148,1,1755
34,Interstellar,2014,169.0,8.7,2300000.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",165000000.0,759422807.0,203227580.0,47510360.0,Anne Hathaway,Adventure,44,148,1,1755
35,Interstellar,2014,169.0,8.7,2300000.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",165000000.0,759422807.0,203227580.0,47510360.0,Jessica Chastain,Adventure,44,148,1,1755
36,Star Wars: Episode V - The Empire Strikes Back,1980,124.0,8.7,1400000.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",18000000.0,550016086.0,292753960.0,4910483.0,Mark Hamill,Action,27,20,1,4080
37,Star Wars: Episode V - The Empire Strikes Back,1980,124.0,8.7,1400000.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",18000000.0,550016086.0,292753960.0,4910483.0,Harrison Ford,Action,27,20,1,4080
38,Star Wars: Episode V - The Empire Strikes Back,1980,124.0,8.7,1400000.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",18000000.0,550016086.0,292753960.0,4910483.0,Carrie Fisher,Action,27,20,1,4080
39,The Matrix,1999,136.0,8.7,2100000.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",63000000.0,467841735.0,172076928.0,27788331.0,Keanu Reeves,Action,42,52,4,4080
40,The Matrix,1999,136.0,8.7,2100000.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",63000000.0,467841735.0,172076928.0,27788331.0,Laurence Fishburne,Action,42,52,4,4080
41,The Matrix,1999,136.0,8.7,2100000.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",63000000.0,467841735.0,172076928.0,27788331.0,Carrie-Anne Moss,Action,42,52,4,4080
42,Goodfellas,1990,145.0,8.7,1300000.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",25000000.0,47056033.0,46909721.0,6368901.0,Robert De Niro,Thriller,44,38,1,1725
43,Goodfellas,1990,145.0,8.7,1300000.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",25000000.0,47056033.0,46909721.0,6368901.0,Ray Liotta,Thriller,44,38,1,1725
44,Goodfellas,1990,145.0,8.7,1300000.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",25000000.0,47056033.0,46909721.0,6368901.0,Joe Pesci,Thriller,44,38,1,1725
45,Stop Making Sense,1984,88.0,8.7,22000.0,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,1200000.0,13111540.0,10306902.0,41666.0,David Byrne,Music & Dance,3,0,0,49
46,Stop Making Sense,1984,88.0,8.7,22000.0,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,1200000.0,13111540.0,10306902.0,41666.0,Bernie Worrell,Music & Dance,3,0,0,49
47,Stop Making Sense,1984,88.0,8.7,22000.0,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,1200000.0,13111540.0,10306902.0,41666.0,Alex Weir,Music & Dance,3,0,0,49
48,Terminator 2: Judgment Day,1991,137.0,8.6,1200000.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",102000000.0,517778573.0,205881154.0,31765506.0,Arnold Schwarzenegger,Action,39,33,4,4080
49,Terminator 2: Judgment Day,1991,137.0,8.6,1200000.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",102000000.0,517778573.0,205881154.0,31765506.0,Linda Hamilton,Action,39,33,4,4080
50,Terminator 2: Judgment Day,1991,137.0,8.6,1200000.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",102000000.0,517778573.0,205881154.0,31765506.0,Edward Furlong,Action,39,33,4,4080
51,Saving Private Ryan,1998,169.0,8.6,1600000.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",70000000.0,482352390.0,217049603.0,30576104.0,Tom Hanks,Drama,79,75,5,1470
52,Saving Private Ryan,1998,169.0,8.6,1600000.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",70000000.0,482352390.0,217049603.0,30576104.0,Matt Damon,Drama,79,75,5,1470
53,Saving Private Ryan,1998,169.0,8.6,1600000.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",70000000.0,482352390.0,217049603.0,30576104.0,Tom Sizemore,Drama,79,75,5,1470
54,Se7en,1995,127.0,8.6,1900000.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",33000000.0,328697877.0,101040643.0,13949807.0,Morgan Freeman,Thriller,29,44,1,1725
55,Se7en,1995,127.0,8.6,1900000.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",33000000.0,328697877.0,101040643.0,13949807.0,Brad Pitt,Thriller,29,44,1,1725
56,Se7en,1995,127.0,8.6,1900000.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",33000000.0,328697877.0,101040643.0,13949807.0,Kevin Spacey,Thriller,29,44,1,1725
57,The Green Mile,1999,189.0,8.6,1500000.0,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,60000000.0,286801374.0,136801374.0,18017152.0,Tom Hanks,Thriller,15,37,4,1725
58,The Green Mile,1999,189.0,8.6,1500000.0,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,60000000.0,286801374.0,136801374.0,18017152.0,Michael Clarke Duncan,Thriller,15,37,4,1725
59,The Green Mile,1999,189.0,8.6,1500000.0,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,60000000.0,286801374.0,136801374.0,18017152.0,David Morse,Thriller,15,37,4,1725
60,The Silence of the Lambs,1991,118.0,8.6,1600000.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",19000000.0,272742922.0,130742922.0,13766814.0,Jodie Foster,Horror,71,50,5,1335
61,The Silence of the Lambs,1991,118.0,8.6,1600000.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",19000000.0,272742922.0,130742922.0,13766814.0,Anthony Hopkins,Horror,71,50,5,1335
62,The Silence of the Lambs,1991,118.0,8.6,1600000.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",19000000.0,272742922.0,130742922.0,13766814.0,Scott Glenn,Horror,71,50,5,1335
63,Life Is Beautiful,1997,116.0,8.6,769000.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",15000000000.0,230099013.0,57563264.0,118920.0,Roberto Benigni,Comedy,72,52,3,2745
64,Life Is Beautiful,1997,116.0,8.6,769000.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",15000000000.0,230099013.0,57563264.0,118920.0,Nicoletta Braschi,Comedy,72,52,3,2745
65,Life Is Beautiful,1997,116.0,8.6,769000.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",15000000000.0,230099013.0,57563264.0,118920.0,Giorgio Cantarini,Comedy,72,52,3,2745
66,Renaissance: A Film by Beyoncé,2023,169.0,8.6,3600.0,"Beyoncé in performance at her record-breaking RENAISSANCE World Tour, and the creative mastermind behind it.",30000000.0,43989684.0,33889684.0,21801216.0,Beyoncé,Music & Dance,0,6,0,49
67,Renaissance: A Film by Beyoncé,2023,169.0,8.6,3600.0,"Beyoncé in performance at her record-breaking RENAISSANCE World Tour, and the creative mastermind behind it.",30000000.0,43989684.0,33889684.0,21801216.0,Blue Ivy Carter,Music & Dance,0,6,0,49
68,Renaissance: A Film by Beyoncé,2023,169.0,8.6,3600.0,"Beyoncé in performance at her record-breaking RENAISSANCE World Tour, and the creative mastermind behind it.",30000000.0,43989684.0,33889684.0,21801216.0,Diana Ross,Music & Dance,0,6,0,49
69,The Legend of Maula Jatt,2022,153.0,8.6,11000.0,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",700000000.0,13941539.0,5016493.0,10079109.0,Fawad Khan,Action,0,2,0,4080
70,The Legend of Maula Jatt,2022,153.0,8.6,11000.0,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",700000000.0,13941539.0,5016493.0,10079109.0,Mahira Khan,Action,0,2,0,4080
71,The Legend of Maula Jatt,2022,153.0,8.6,11000.0,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",700000000.0,13941539.0,5016493.0,10079109.0,Hamza Ali Abbasi,Action,0,2,0,4080
72,The Lion King,1994,88.0,8.5,1200000.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",45000000.0,979161373.0,424979720.0,1586753.0,Matthew Broderick,Adventure,43,35,2,1755
73,The Lion King,1994,88.0,8.5,1200000.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",45000000.0,979161373.0,424979720.0,1586753.0,Jeremy Irons,Adventure,43,35,2,1755
74,The Lion King,1994,88.0,8.5,1200000.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",45000000.0,979161373.0,424979720.0,1586753.0,James Earl Jones,Adventure,43,35,2,1755
75,Dune: Part Two,2024,166.0,8.5,597000.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",190000000.0,714644358.0,282144358.0,82505391.0,Timothée Chalamet,Action,82,335,5,4080
76,Dune: Part Two,2024,166.0,8.5,597000.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",190000000.0,714644358.0,282144358.0,82505391.0,Zendaya,Action,82,335,5,4080
77,Dune: Part Two,2024,166.0,8.5,597000.0,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",190000000.0,714644358.0,282144358.0,82505391.0,Rebecca Ferguson,Action,82,335,5,4080
78,Spider-Man: Across the Spider-Verse,2023,140.0,8.5,436000.0,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",150000000.0,690824738.0,381593754.0,120663589.0,Shameik Moore,Action,106,165,1,4080
79,Spider-Man: Across the Spider-Verse,2023,140.0,8.5,436000.0,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",150000000.0,690824738.0,381593754.0,120663589.0,Hailee Steinfeld,Action,106,165,1,4080
80,Spider-Man: Across the Spider-Verse,2023,140.0,8.5,436000.0,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",150000000.0,690824738.0,381593754.0,120663589.0,Brian Tyree Henry,Action,106,165,1,4080
81,Gladiator,2000,155.0,8.5,1700000.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,103000000.0,465516248.0,187705427.0,34819017.0,Russell Crowe,Action,60,104,5,4080
82,Gladiator,2000,155.0,8.5,1700000.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,103000000.0,465516248.0,187705427.0,34819017.0,Joaquin Phoenix,Action,60,104,5,4080
83,Gladiator,2000,155.0,8.5,1700000.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,103000000.0,465516248.0,187705427.0,34819017.0,Connie Nielsen,Action,60,104,5,4080
84,Django Unchained,2012,165.0,8.5,1800000.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",100000000.0,426076293.0,162805434.0,30122888.0,Jamie Foxx,Comedy,58,158,2,2745
85,Django Unchained,2012,165.0,8.5,1800000.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",100000000.0,426076293.0,162805434.0,30122888.0,Christoph Waltz,Comedy,58,158,2,2745
86,Django Unchained,2012,165.0,8.5,1800000.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",100000000.0,426076293.0,162805434.0,30122888.0,Leonardo DiCaprio,Comedy,58,158,2,2745
87,Back to the Future,1985,116.0,8.5,1400000.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",19000000.0,385053307.0,214553307.0,11152500.0,Michael J. Fox,Adventure,27,25,1,1755
88,Back to the Future,1985,116.0,8.5,1400000.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",19000000.0,385053307.0,214553307.0,11152500.0,Christopher Lloyd,Adventure,27,25,1,1755
89,Back to the Future,1985,116.0,8.5,1400000.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",19000000.0,385053307.0,214553307.0,11152500.0,Lea Thompson,Adventure,27,25,1,1755
90,The Departed,2006,151.0,8.5,1500000.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,90000000.0,291481358.0,132399394.0,26887467.0,Leonardo DiCaprio,Thriller,100,141,4,1725
91,The Departed,2006,151.0,8.5,1500000.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,90000000.0,291481358.0,132399394.0,26887467.0,Matt Damon,Thriller,100,141,4,1725
92,The Departed,2006,151.0,8.5,1500000.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,90000000.0,291481358.0,132399394.0,26887467.0,Jack Nicholson,Thriller,100,141,4,1725
93,Parasite,2019,132.0,8.5,1000000.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,11400000.0,262486696.0,53726476.0,393216.0,Song Kang-ho,Thriller,317,266,4,1725
94,Parasite,2019,132.0,8.5,1000000.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,11400000.0,262486696.0,53726476.0,393216.0,Lee Sun-kyun,Thriller,317,266,4,1725
95,Parasite,2019,132.0,8.5,1000000.0,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,11400000.0,262486696.0,53726476.0,393216.0,Cho Yeo-jeong,Thriller,317,266,4,1725
96,The Pianist,2002,150.0,8.5,955000.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",35000000.0,120098945.0,32590750.0,111261.0,Adrien Brody,Drama,57,74,3,1470
97,The Pianist,2002,150.0,8.5,955000.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",35000000.0,120098945.0,32590750.0,111261.0,Thomas Kretschmann,Drama,57,74,3,1470
98,The Pianist,2002,150.0,8.5,955000.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",35000000.0,120098945.0,32590750.0,111261.0,Frank Finlay,Drama,57,74,3,1470
99,The Prestige,2006,130.0,8.5,1500000.0,Rival 19th-century magicians engage in a bitter battle for trade secrets.,40000000.0,109676311.0,53089891.0,14801808.0,Christian Bale,Thriller,6,44,2,1725
100,The Prestige,2006,130.0,8.5,1500000.0,Rival 19th-century magicians engage in a bitter battle for trade secrets.,40000000.0,109676311.0,53089891.0,14801808.0,Hugh Jackman,Thriller,6,44,2,1725
101,The Prestige,2006,130.0,8.5,1500000.0,Rival 19th-century magicians engage in a bitter battle for trade secrets.,40000000.0,109676311.0,53089891.0,14801808.0,Scarlett Johansson,Thriller,6,44,2,1725
102,The Usual Suspects,1995,106.0,8.5,1200000.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,6000000.0,23341568.0,23341568.0,645363.0,Kevin Spacey,Thriller,37,17,2,1725
103,The Usual Suspects,1995,106.0,8.5,1200000.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,6000000.0,23341568.0,23341568.0,645363.0,Gabriel Byrne,Thriller,37,17,2,1725
104,The Usual Suspects,1995,106.0,8.5,1200000.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,6000000.0,23341568.0,23341568.0,645363.0,Chazz Palminteri,Thriller,37,17,2,1725
