Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt2488496/?ref_=sr_t_1,245000000,2071310218,936662225,247966675,['J.J. Abrams'],"['Lawrence Kasdan', 'J.J. Abrams', 'Michael Arndt']","['Daisy Ridley', 'John Boyega', 'Oscar Isaac']","['Action Epic', 'Adventure Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'United Kingdom']","['Skellig Michael, County Kerry, Ireland']","['Lucasfilm', 'Bad Robot']",['English'],64,140,5,2015
https://www.imdb.com/title/tt0369610/?ref_=sr_t_2,150000000,1671537444,653406625,208806270,['Colin Trevorrow'],"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow']","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']","['Dinosaur Adventure', 'Jungle Adventure', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Canada']","[""Kualoa Ranch - 49560 Kamehameha Highway, Ka'a'awa, O'ahu, Hawaii, USA""]","['Universal Pictures', 'Amblin Entertainment', 'Legendary Entertainment']",['English'],15,58,0,2015
https://www.imdb.com/title/tt2395427/?ref_=sr_t_3,250000000,1405018048,459005868,191271109,['Joss Whedon'],"['Joss Whedon', 'Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['Artificial Intelligence', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Chittagong, Bangladesh']",['Marvel Studios'],"['English', 'Korean']",8,52,0,2015
https://www.imdb.com/title/tt2096673/?ref_=sr_t_4,175000000,859076254,356461711,90440272,"['Pete Docter', 'Ronnie Del Carmen']","['Pete Docter', 'Ronnie Del Carmen', 'Meg LeFauve']","['Amy Poehler', 'Bill Hader', 'Lewis Black']","['Coming-of-Age', 'Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Pixar Animation Studios', 'Walt Disney Pictures']","['English', 'Portuguese', 'Latvian']",99,118,1,2015
https://www.imdb.com/title/tt2820852/?ref_=sr_t_5,190000000,1515342457,353007020,147187040,['James Wan'],"['Chris Morgan', 'Gary Scott Thompson']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['Car Action', 'Action', 'Thriller']","['United States', 'China', 'Japan', 'Canada', 'United Arab Emirates']","['Abu Dhabi, United Arab Emirates']","['Universal Pictures', 'Media Rights Capital (MRC)', 'China Film Co., Ltd.']","['English', 'Thai', 'Arabic', 'Spanish']",36,36,0,2015
https://www.imdb.com/title/tt2293640/?ref_=sr_t_6,74000000,1159457503,336045770,115718405,"['Kyle Balda', 'Pierre Coffin']",['Brian Lynch'],"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']","['Computer Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'France']","['New York City, New York, USA']","['Illumination Entertainment', 'Universal Pictures']","['English', 'Spanish', 'Italian']",4,29,0,2015
https://www.imdb.com/title/tt1951266/?ref_=sr_t_7,160000000,661456867,281723902,102665981,['Francis Lawrence'],"['Peter Craig', 'Danny Strong', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']","['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'Germany', 'Canada', 'France']","['Tempelhof Airport, Tempelhof, Berlin, Germany']","['Lionsgate', 'Color Force', 'Studio Babelsberg']",['English'],15,34,0,2015
https://www.imdb.com/title/tt3659388/?ref_=sr_t_8,108000000,630621406,228433663,54308575,['Ridley Scott'],"['Drew Goddard', 'Andy Weir']","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']","['Space Sci-Fi', 'Survival', 'Adventure', 'Drama', 'Sci-Fi']","['United States', 'United Kingdom', 'Hungary', 'Jordan']","['Wadi Rum, Jordan']","['Twentieth Century Fox', 'TSG Entertainment', 'Scott Free Productions']","['English', 'Mandarin']",40,199,7,2015
https://www.imdb.com/title/tt1661199/?ref_=sr_t_9,95000000,542358331,201151353,67877361,['Kenneth Branagh'],"['Chris Weitz', 'Charles Perrault']","['Lily James', 'Cate Blanchett', 'Richard Madden']","['Fairy Tale', 'Feel-Good Romance', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']","['United Kingdom', 'United States', 'Denmark', 'Canada', 'Italy']","['Old Royal Naval College, Greenwich, London, England, UK']","['Walt Disney Pictures', 'Allison Shearmur Productions', 'Beagle Pug Films']",['English'],10,40,1,2015
https://www.imdb.com/title/tt2379713/?ref_=sr_t_10,245000000,880707597,200074609,70403148,['Sam Mendes'],"['John Logan', 'Neal Purvis', 'Robert Wade']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']","['Globetrotting Adventure', 'One-Person Army Action', 'Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States', 'Morocco', 'Italy', 'Austria', 'Canada', 'Mexico']","['Erfoud, Morocco']","['B24', 'Columbia Pictures', 'Danjaq']","['English', 'German', 'Italian', 'Spanish', 'French', 'Ukrainian']",8,37,1,2015
https://www.imdb.com/title/tt2381249/?ref_=sr_t_11,150000000,682716636,195042377,55520089,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie', 'Drew Pearce']","['Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']","['Action', 'Adventure', 'Thriller']","['United States', 'China', 'United Kingdom', 'Austria', 'Morocco', 'Hong Kong']","['Marrakech, Morocco']","['Paramount Pictures', 'Skydance Media', 'Bad Robot']","['English', 'Swedish', 'German', 'Russian']",6,26,0,2015
https://www.imdb.com/title/tt2848292/?ref_=sr_t_12,29000000,287144079,184296230,69216890,['Elizabeth Banks'],"['Kay Cannon', 'Mickey Rapkin']","['Anna Kendrick', 'Rebel Wilson', 'Hailee Steinfeld']","['Comedy', 'Music']",['United States'],"['Baton Rouge, Louisiana, USA']","['Brownstone Productions (II)', 'Gold Circle Films', 'Universal Pictures']","['English', 'German']",10,17,0,2015
https://www.imdb.com/title/tt1663202/?ref_=sr_t_13,135000000,532950503,183637894,474560,['Alejandro G. Iñárritu'],"['Mark L. Smith', 'Alejandro G. Iñárritu', 'Michael Punke']","['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter']","['Epic', 'Period Drama', 'Survival', 'Western Epic', 'Action', 'Adventure', 'Drama', 'Western']","['United States', 'Hong Kong', 'Taiwan', 'Argentina']","['Ushuaia, Tierra del Fuego, Argentina']","['New Regency Productions', 'RatPac Entertainment', 'New Regency Productions']","['English', 'Pawnee', 'French']",92,193,3,2015
https://www.imdb.com/title/tt0478970/?ref_=sr_t_14,130000000,519311965,180202163,57225526,['Peyton Reed'],"['Edgar Wright', 'Joe Cornish', 'Adam McKay']","['Paul Rudd', 'Michael Douglas', 'Corey Stoll']","['Superhero', 'Action', 'Comedy', 'Sci-Fi']",['United States'],"['Trilith Studios, 461 Sandy Creek Road, Fayetteville, Georgia, USA']","['Marvel Studios', 'Gary Sanchez Productions']",['English'],4,34,0,2015
https://www.imdb.com/title/tt2224026/?ref_=sr_t_15,135000000,386041607,177397510,52107731,['Tim Johnson'],"['Tom J. Astle', 'Matt Ember', 'Adam Rex']","['Jim Parsons', 'Rihanna', 'Steve Martin']","['Computer Animation', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Sci-Fi']","['United States', 'India']","['Glendale, California, USA']",['DreamWorks Animation'],"['English', 'French']",3,10,0,2015
https://www.imdb.com/title/tt2510894/?ref_=sr_t_16,80000000,475186976,169700110,48464322,['Genndy Tartakovsky'],"['Robert Smigel', 'Adam Sandler', 'Todd Durham']","['Adam Sandler', 'Andy Samberg', 'Selena Gomez']","['Computer Animation', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['United States', 'Canada']",[],"['Columbia Pictures', 'LStar Capital', 'Sony Pictures Animation']",['English'],3,11,0,2015
https://www.imdb.com/title/tt2322441/?ref_=sr_t_17,40000000,569651467,166167230,85171450,['Sam Taylor-Johnson'],"['Kelly Marcel', 'E.L. James']","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle']","['Erotic Thriller', 'Psychological Drama', 'Psychological Thriller', 'Steamy Romance', 'Drama', 'Romance', 'Thriller']",['United States'],"['Vancouver, British Columbia, Canada']","['Focus Features', 'Michael De Luca Productions', 'Trigger Street Productions']",['English'],9,30,1,2015
https://www.imdb.com/title/tt2279373/?ref_=sr_t_18,74000000,325186032,162994032,55365012,"['Paul Tibbitt', 'Mike Mitchell']","['Jonathan Aibel', 'Glenn Berger', 'Stephen Hillenburg']","['Tom Kenny', 'Antonio Banderas', 'Bill Fagerbakke']","['Computer Animation', 'Hand-Drawn Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['United States', 'South Korea', 'Australia']","['Savannah, Georgia, USA']","['Paramount Animation', 'Nickelodeon Movies', 'United Plankton Pictures']",['English'],0,9,0,2015
https://www.imdb.com/title/tt1398426/?ref_=sr_t_19,28000000,201634991,161197785,60200180,['F. Gary Gray'],"['Jonathan Herman', 'Andrea Berloff', 'S. Leigh Savidge']","[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell']","['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'History', 'Music']","['United States', 'Japan']","['Los Angeles, California, USA']","['Universal Pictures', 'Legendary Entertainment', 'New Line Cinema']",['English'],28,40,1,2015
