Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt10872600/?ref_=sr_t_1,200000000.0,1952732181,814866759,260138569.0,['Jon Watts'],"['Chris McKenna', 'Erik Sommers', 'Stan Lee']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']","['Superhero', 'Supernatural Fantasy', 'Urban Adventure', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],['Iceland'],"['Columbia Pictures', 'Pascal Pictures', 'Marvel Studios']",['English'],35,71,1,2021
https://www.imdb.com/title/tt9376612/?ref_=sr_t_2,200000000.0,432243292,224543292,75388688.0,['Destin Daniel Cretton'],"['Dave Callaham', 'Destin Daniel Cretton', 'Andrew Lanham']","['Simu Liu', 'Awkwafina', 'Tony Leung Chiu-wai']","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Kung Fu', 'Martial Arts', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],"['Disney Studios, Moore Park, Sydney, New South Wales, Australia']",['Marvel Studios'],"['English', 'Mandarin']",19,67,1,2021
https://www.imdb.com/title/tt7097896/?ref_=sr_t_3,110000000.0,506813864,213550366,90033210.0,['Andy Serkis'],"['Kelly Marcel', 'Tom Hardy']","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']","['Kaiju', 'One-Person Army Action', 'Superhero', 'Action', 'Sci-Fi', 'Thriller']",['United States'],"['London, England, UK']","['Columbia Pictures', 'Marvel Entertainment', 'Avi Arad Productions']","['English', 'Spanish', 'Mandarin', 'Japanese']",0,6,0,2021
https://www.imdb.com/title/tt3480822/?ref_=sr_t_4,200000000.0,379751655,183651655,80366312.0,['Cate Shortland'],"['Eric Pearson', 'Jac Schaeffer', 'Ned Benson']","['Scarlett Johansson', 'Florence Pugh', 'David Harbour']","['Spy', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Sæbø, Ørsta, Møre og Romsdal, Norway']",['Marvel Studios'],"['English', 'Russian', 'Norwegian', 'Hungarian', 'Macedonian', 'Finnish']",14,34,0,2021
https://www.imdb.com/title/tt5433138/?ref_=sr_t_5,200000000.0,726229501,173005945,70043165.0,['Justin Lin'],"['Daniel Casey', 'Justin Lin', 'Alfredo Botello']","['Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster']","['Action Epic', 'Car Action', 'Action', 'Crime', 'Thriller']","['United States', 'Thailand', 'Canada', 'Japan']","['Tbilisi, Georgia']","['One Race Films', 'Roth/Kirschenbaum Films', 'Perfect Storm Entertainment']","['English', 'Japanese', 'Spanish']",2,13,0,2021
https://www.imdb.com/title/tt9032400/?ref_=sr_t_6,200000000.0,402064899,164870234,71297219.0,['Chloé Zhao'],"['Chloé Zhao', 'Patrick Burleigh', 'Ryan Firpo']","['Gemma Chan', 'Richard Madden', 'Angelina Jolie']","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],"['Fuerteventura, Canary Islands, Spain']",['Marvel Studios'],"['English', 'American Sign Language', 'Marathi', 'Assyrian Neo-Aramaic', 'Spanish', 'Sumerian', 'Latin', 'Sanskrit', 'Greek, Ancient (to 1453)', 'Arabic']",7,18,0,2021
https://www.imdb.com/title/tt6467266/?ref_=sr_t_7,85000000.0,408402685,162790990,22326230.0,"['Garth Jennings', 'Christophe Lourdelet']",['Garth Jennings'],"['Matthew McConaughey', 'Reese Witherspoon', 'Scarlett Johansson']","['Animal Adventure', 'Computer Animation', 'Jukebox Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']","['United States', 'Japan', 'France']",[],"['Universal Pictures', 'Illumination Entertainment', 'Dentsu']",['English'],2,21,0,2021
https://www.imdb.com/title/tt2382320/?ref_=sr_t_8,250000000.0,774153007,160891007,55225007.0,['Cary Joji Fukunaga'],"['Neal Purvis', 'Robert Wade', 'Cary Joji Fukunaga']","['Daniel Craig', 'Ana de Armas', 'Rami Malek']","['Action Epic', 'Adventure Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States']","['Aviemore, Highland, Scotland, UK']","['Metro-Goldwyn-Mayer (MGM)', 'Universal Pictures', 'Eon Productions']","['English', 'French', 'Italian', 'Russian', 'Spanish', 'Norwegian', 'German']",50,76,1,2021
https://www.imdb.com/title/tt4513678/?ref_=sr_t_9,75000000.0,204445747,129471867,44008406.0,['Jason Reitman'],"['Gil Kenan', 'Jason Reitman', 'Ivan Reitman']","['Carrie Coon', 'Paul Rudd', 'Finn Wolfhard']","['Supernatural Fantasy', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['United States', 'Canada']","['Calgary, Alberta, Canada']","['Columbia Pictures', 'BRON Studios', 'Ghostcorps']",['English'],0,21,0,2021
https://www.imdb.com/title/tt6264654/?ref_=sr_t_10,120000000.0,331526598,121626598,28365416.0,['Shawn Levy'],"['Matt Lieberman', 'Zak Penn']","['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi']","['Artificial Intelligence', 'High-Concept Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']","['United States', 'Canada']","['Worcester, Massachusetts, USA']","['20th Century Studios', 'Berlanti Productions', '21 Laps Entertainment']","['English', 'Japanese', 'German']",5,29,1,2021
